<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.04	1.08344	1.08757	1.08304	1.08354	42647	0	15
2024.04.05	1.08327	1.08470	1.07906	1.08349	72160	0	15
2024.04.08	1.08358	1.08613	1.08200	1.08578	58555	0	15
2024.04.09	1.08577	1.08841	1.08468	1.08553	45623	0	15
2024.04.10	1.08551	1.08656	1.07280	1.07409	73143	0	15
2024.04.11	1.07406	1.07557	1.06983	1.07246	76785	0	15
2024.04.12	1.07239	1.07285	1.06216	1.06396	73627	0	15
2024.04.15	1.06306	1.06644	1.06195	1.06229	78642	0	15
2024.04.16	1.06227	1.06529	1.06002	1.06172	87753	0	15
2024.04.17	1.06173	1.06788	1.06053	1.06713	76772	0	15
2024.04.18	1.06714	1.06891	1.06400	1.06417	64319	0	15
2024.04.19	1.06419	1.06767	1.06095	1.06495	94262	0	15
2024.04.22	1.06505	1.06698	1.06231	1.06530	55670	0	15
2024.04.23	1.06530	1.07105	1.06377	1.07001	64157	0	15
2024.04.24	1.06999	1.07134	1.06770	1.06972	53855	0	15
2024.04.25	1.06968	1.07389	1.06774	1.07283	65096	0	15
2024.04.26	1.07282	1.07520	1.06731	1.06890	60805	0	15
2024.04.29	1.06919	1.07330	1.06870	1.07191	79767	0	15
2024.04.30	1.07194	1.07345	1.06637	1.06646	69678	0	15
2024.05.01	1.06641	1.07318	1.06485	1.07094	71070	0	15
2024.05.02	1.07079	1.07295	1.06733	1.07237	74225	0	15
2024.05.03	1.07232	1.08117	1.07197	1.07596	76945	0	15
2024.05.06	1.07571	1.07900	1.07544	1.07668	39629	0	15
2024.05.07	1.07668	1.07865	1.07470	1.07531	49601	0	15
2024.05.08	1.07523	1.07566	1.07340	1.07467	42728	0	15
2024.05.09	1.07467	1.07836	1.07230	1.07805	48885	0	15
2024.05.10	1.07805	1.07892	1.07594	1.07659	46003	0	15
2024.05.13	1.07684	1.08060	1.07649	1.07884	39003	0	15
2024.05.14	1.07883	1.08248	1.07658	1.08175	47244	0	15
2024.05.15	1.08171	1.08847	1.08122	1.08828	57064	0	15
2024.05.16	1.08828	1.08942	1.08536	1.08655	51413	0	0
2024.05.17	1.08641	1.08776	1.08348	1.08647	41093	0	15
2024.05.20	1.08641	1.08836	1.08534	1.08552	37949	0	15
2024.05.21	1.08546	1.08739	1.08418	1.08523	47956	0	15
2024.05.22	1.08524	1.08627	1.08166	1.08213	50649	0	15
2024.05.23	1.08213	1.08601	1.08039	1.08136	62064	0	15
2024.05.24	1.08134	1.08570	1.08046	1.08439	46577	0	15
2024.05.27	1.08449	1.08665	1.08397	1.08572	27608	0	15
2024.05.28	1.08568	1.08882	1.08500	1.08552	54721	0	15
2024.05.29	1.08553	1.08594	1.07987	1.07994	56424	0	15
2024.05.30	1.07994	1.08443	1.07874	1.08303	57898	0	15
2024.05.31	1.08269	1.08815	1.08103	1.08466	65524	0	15
2024.06.03	1.08444	1.09032	1.08269	1.09005	60282	0	15
2024.06.04	1.09007	1.09153	1.08581	1.08777	68450	0	15
2024.06.05	1.08776	1.08909	1.08535	1.08670	53573	0	15
2024.06.06	1.08670	1.09011	1.08611	1.08866	55612	0	15
2024.06.07	1.08864	1.09010	1.07984	1.08001	65811	0	15
2024.06.10	1.07691	1.07808	1.07318	1.07637	57134	0	15
2024.06.11	1.07637	1.07727	1.07186	1.07345	59117	0	15
2024.06.12	1.07371	1.08515	1.07337	1.08074	84021	0	15
2024.06.13	1.08073	1.08155	1.07320	1.07355	61385	0	15
2024.06.14	1.07348	1.07441	1.06668	1.07013	77931	0	15
2024.06.17	1.06987	1.07369	1.06856	1.07322	61544	0	15
2024.06.18	1.07329	1.07607	1.07092	1.07384	63948	0	15
2024.06.19	1.07379	1.07524	1.07239	1.07385	39264	0	15
2024.06.20	1.07384	1.07479	1.07003	1.07005	59372	0	15
2024.06.21	1.07005	1.07198	1.06702	1.06911	62837	0	15
2024.06.24	1.06821	1.07454	1.06821	1.07299	59915	0	15
2024.06.25	1.07296	1.07433	1.06898	1.07116	53565	0	15
2024.06.26	1.07120	1.07172	1.06651	1.06790	61069	0	15
2024.06.27	1.06791	1.07257	1.06762	1.06993	61724	0	15
2024.06.28	1.06991	1.07239	1.06846	1.07104	71552	0	15
2024.07.01	1.07410	1.07756	1.07188	1.07390	66053	0	15
2024.07.02	1.07389	1.07459	1.07091	1.07439	55055	0	15
2024.07.03	1.07437	1.08160	1.07354	1.07837	55558	0	15
2024.07.04	1.07832	1.08130	1.07785	1.08088	34250	0	15
2024.07.05	1.08098	1.08417	1.07984	1.08345	60612	0	15
2024.07.08	1.08000	1.08443	1.07974	1.08225	53517	0	15
2024.07.09	1.08227	1.08325	1.08047	1.08123	55113	0	15
2024.07.10	1.08118	1.08292	1.08077	1.08288	44102	0	15
2024.07.11	1.08288	1.08989	1.08226	1.08667	70563	0	15
2024.07.12	1.08643	1.09104	1.08609	1.09049	61344	0	15
2024.07.15	1.08814	1.09215	1.08784	1.08928	56863	0	15
2024.07.16	1.08927	1.09047	1.08707	1.08978	50517	0	15
2024.07.17	1.08975	1.09473	1.08942	1.09380	63918	0	15
2024.07.18	1.09374	1.09401	1.08928	1.08952	68948	0	15
2024.07.19	1.08934	1.09009	1.08749	1.08784	67414	0	15
2024.07.22	1.08815	1.09018	1.08722	1.08894	58741	0	15
2024.07.23	1.08892	1.08959	1.08431	1.08525	57265	0	15
2024.07.24	1.08524	1.08657	1.08249	1.08383	67292	0	15
2024.07.25	1.08384	1.08691	1.08275	1.08444	86082	0	15
2024.07.26	1.08446	1.08674	1.08413	1.08536	63242	0	15
2024.07.29	1.08520	1.08691	1.08020	1.08199	58030	0	15
2024.07.30	1.08158	1.08349	1.07974	1.08139	65132	0	15
2024.07.31	1.08071	1.08486	1.08009	1.08242	94923	0	15
2024.08.01	1.08240	1.08346	1.07766	1.07901	83980	0	15
2024.08.02	1.07898	1.09258	1.07810	1.09087	104184	0	15
2024.08.05	1.09199	1.10080	1.08916	1.09505	174576	0	15
2024.08.06	1.09506	1.09622	1.09028	1.09289	117391	0	15
2024.08.07	1.09254	1.09358	1.09047	1.09206	95686	0	15
2024.08.08	1.09206	1.09443	1.08805	1.09174	85782	0	15
2024.08.09	1.09173	1.09304	1.09082	1.09111	57440	0	15
2024.08.12	1.09112	1.09386	1.09092	1.09300	50832	0	15
2024.08.13	1.09269	1.09987	1.09128	1.09916	52701	0	15
2024.08.14	1.09916	1.10465	1.09812	1.10098	58558	0	0
2024.08.15	1.10108	1.10147	1.09487	1.09713	53396	0	15
2024.08.16	1.09709	1.10284	1.09695	1.10282	47830	0	15
2024.08.19	1.10246	1.10854	1.10219	1.10834	56938	0	15
2024.08.20	1.10811	1.11290	1.10710	1.11279	58071	0	15
2024.08.21	1.11242	1.11732	1.10988	1.11489	71759	0	15
2024.08.22	1.11489	1.11649	1.10974	1.11094	62146	0	15
2024.08.23	1.11057	1.12001	1.11032	1.11910	71815	0	15
2024.08.26	1.11826	1.12008	1.11492	1.11596	64472	0	15
2024.08.27	1.11596	1.11662	1.11516	1.11656	1592	0	15
